2021-04-17 08:15:00,675 Epoch 0 	 Loss 1.1354359581575288
2021-04-17 08:17:36,945 Epoch 1 	 Loss 1.0088208727129213
2021-04-17 08:20:13,880 Epoch 2 	 Loss 0.9238793358697996
2021-04-17 08:22:49,792 Epoch 3 	 Loss 0.8589702340272757
2021-04-17 08:25:25,680 Epoch 4 	 Loss 0.7930325521872594
2021-04-17 08:28:01,609 Epoch 5 	 Loss 0.7261923826657809
2021-04-17 08:30:37,742 Epoch 6 	 Loss 0.6734316599565547
2021-04-17 08:33:13,665 Epoch 7 	 Loss 0.6361450654464763
2021-04-17 08:35:49,714 Epoch 8 	 Loss 0.6052739670970938
2021-04-17 08:38:25,892 Epoch 9 	 Loss 0.5540418819739268
2021-04-17 08:41:02,034 Epoch 10 	 Loss 0.5202287722911153
2021-04-17 08:43:38,134 Epoch 11 	 Loss 0.5067582439917785
2021-04-17 08:46:14,412 Epoch 12 	 Loss 0.4700247676490427
2021-04-17 08:48:50,569 Epoch 13 	 Loss 0.44120670036300197
2021-04-17 08:51:26,775 Epoch 14 	 Loss 0.432014711528689
2021-04-17 08:54:02,957 Epoch 15 	 Loss 0.402665770807109
2021-04-17 08:56:39,056 Epoch 16 	 Loss 0.38755469908426093
2021-04-17 08:59:15,290 Epoch 17 	 Loss 0.36166544291344316
2021-04-17 09:01:52,538 Epoch 18 	 Loss 0.3502646171293416
2021-04-17 09:04:30,006 Epoch 19 	 Loss 0.3310982114993609
2021-04-17 09:07:07,554 Epoch 20 	 Loss 0.3128542708499091
2021-04-17 09:09:44,854 Epoch 21 	 Loss 0.29042212476769647
2021-04-17 09:12:22,129 Epoch 22 	 Loss 0.28725337777491455
2021-04-17 09:14:59,480 Epoch 23 	 Loss 0.26104764075397136
2021-04-17 09:17:36,655 Epoch 24 	 Loss 0.2529931520367717
2021-04-17 09:20:13,910 Epoch 25 	 Loss 0.2380263933113643
2021-04-17 09:22:51,197 Epoch 26 	 Loss 0.22156058075827556
2021-04-17 09:25:28,395 Epoch 27 	 Loss 0.210337698582437
2021-04-17 09:28:05,701 Epoch 28 	 Loss 0.21001971738187822
2021-04-17 09:30:42,910 Epoch 29 	 Loss 0.1881952725842104
2021-04-17 09:33:20,133 Epoch 30 	 Loss 0.17167856486944053
2021-04-17 09:35:57,489 Epoch 31 	 Loss 0.16943050802245244
2021-04-17 09:38:34,660 Epoch 32 	 Loss 0.1706680627642097
2021-04-17 09:41:11,943 Epoch 33 	 Loss 0.15243683951896625
2021-04-17 09:43:49,060 Epoch 34 	 Loss 0.15195385092398622
2021-04-17 09:46:26,181 Epoch 35 	 Loss 0.14017485888613448
2021-04-17 09:49:03,356 Epoch 36 	 Loss 0.1413757891527244
2021-04-17 09:51:40,510 Epoch 37 	 Loss 0.1374036394223407
2021-04-17 09:54:17,721 Epoch 38 	 Loss 0.14814602862020115
2021-04-17 09:56:54,880 Epoch 39 	 Loss 0.13989312369581108
2021-04-17 09:59:31,936 Epoch 40 	 Loss 0.11587363170398461
2021-04-17 10:02:09,027 Epoch 41 	 Loss 0.10664092032955243
2021-04-17 10:04:46,128 Epoch 42 	 Loss 0.10035094987232607
2021-04-17 10:07:23,254 Epoch 43 	 Loss 0.09618928492232993
2021-04-17 10:10:00,537 Epoch 44 	 Loss 0.09540477247683557
2021-04-17 10:12:37,911 Epoch 45 	 Loss 0.09297652644934234
2021-04-17 10:15:15,305 Epoch 46 	 Loss 0.09029880501739271
2021-04-17 10:17:52,579 Epoch 47 	 Loss 0.08680328108615927
2021-04-17 10:20:29,836 Epoch 48 	 Loss 0.0836782928269643
2021-04-17 10:23:06,994 Epoch 49 	 Loss 0.0816528822530757
2021-04-17 10:25:44,023 Epoch 50 	 Loss 0.08423488748843198
2021-04-17 10:28:21,201 Epoch 51 	 Loss 0.07757718910227765
2021-04-17 10:30:58,273 Epoch 52 	 Loss 0.07385612711064764
2021-04-17 10:33:35,568 Epoch 53 	 Loss 0.07011700878022137
2021-04-17 10:36:12,812 Epoch 54 	 Loss 0.06651929710674417
2021-04-17 10:38:49,996 Epoch 55 	 Loss 0.06589292974344321
2021-04-17 10:41:27,120 Epoch 56 	 Loss 0.06393836571701936
2021-04-17 10:44:04,577 Epoch 57 	 Loss 0.0630592896019692
2021-04-17 10:46:42,016 Epoch 58 	 Loss 0.06106086050743585
2021-04-17 10:49:24,374 Epoch 59 	 Loss 0.05877146145308411
2021-04-17 10:52:03,157 Epoch 60 	 Loss 0.057701490758048306
2021-04-17 10:54:44,247 Epoch 61 	 Loss 0.05523327138315845
2021-04-17 10:57:25,305 Epoch 62 	 Loss 0.05357753577550034
2021-04-17 11:00:04,308 Epoch 63 	 Loss 0.052384033533079286
